date,season,type,players,experts
2026-05-03,2026,dynasty,520,15
2026-05-03,2026,redraft,423,21
2026-05-03,2026,dynasty_QB,94,16
2026-05-03,2026,dynasty_RB,219,16
2026-05-03,2026,dynasty_WR,243,15
2026-05-03,2026,dynasty_TE,128,15
2026-05-03,2026,rookie_QB,66,22
2026-05-03,2026,rookie_RB,117,21
2026-05-03,2026,rookie_WR,152,21
2026-05-03,2026,rookie_TE,73,20
2026-05-10,2026,dynasty,527,22
2026-05-10,2026,redraft,424,31
2026-05-10,2026,dynasty_QB,98,23
2026-05-10,2026,dynasty_RB,224,23
2026-05-10,2026,dynasty_WR,260,23
2026-05-10,2026,dynasty,527,22
2026-05-10,2026,redraft,424,31
2026-05-10,2026,dynasty_QB,98,23
2026-05-10,2026,dynasty_RB,224,23
2026-05-10,2026,dynasty_WR,260,23
2026-05-10,2026,dynasty_TE,133,22
2026-05-10,2026,rookie_QB,28,41
2026-05-10,2026,rookie_RB,40,41
2026-05-10,2026,rookie_WR,59,42
2026-05-10,2026,rookie_TE,35,42
2026-05-17,2026,dynasty,531,29
2026-05-17,2026,redraft,424,33
2026-05-17,2026,dynasty_QB,107,30
2026-05-17,2026,dynasty_RB,221,30
2026-05-17,2026,dynasty_WR,265,29
2026-05-17,2026,dynasty_TE,136,29
2026-05-17,2026,rookie_QB,28,43
2026-05-17,2026,rookie_RB,39,42
2026-05-17,2026,rookie_WR,59,43
2026-05-17,2026,rookie_TE,35,43
2026-05-24,2026,dynasty,534,30
2026-05-24,2026,redraft,430,37
2026-05-24,2026,dynasty_QB,107,31
2026-05-24,2026,dynasty_RB,222,31
2026-05-24,2026,dynasty_WR,266,30
2026-05-24,2026,dynasty_TE,136,30
2026-05-24,2026,rookie_QB,28,42
2026-05-24,2026,rookie_RB,39,42
2026-05-24,2026,rookie_WR,59,42
2026-05-24,2026,rookie_TE,35,42
